ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
103.7.204.166,6,"('51.4719', '-0.1616')",51.4719,-0.1616,OTHER,8761.393380796928,8764.96210098024
103.237.18.7,3,"('-34.9281', '138.5999')",-34.9281,138.5999,OTHER,13157.585264653251,13146.921759117295
71.190.158.26,4,"('40.6981', '-73.7045')",40.6981,-73.7045,OTHER,3966.0841453983235,3976.8982287149984
131.178.102.172,2,"('25.6759', '-100.3208')",25.6759,-100.3208,OTHER,1961.2461470839453,1976.3922094485076
108.160.205.252,7,"('41.871', '-87.6289')",41.871,-87.6289,OTHER,2808.8766499428507,2819.120344705881
98.160.121.231,8,"('36.013', '-95.9767')",36.013,-95.9767,OTHER,2039.101249886554,2051.828776065157
83.27.234.38,6,"('51.7916', '19.4697')",51.7916,19.4697,OTHER,9624.096922404866,9625.197594570367
208.83.82.233,8,"('17.1221', '-61.8546')",17.1221,-61.8546,OTHER,5886.237486510445,5900.761645392453
180.150.36.209,4,"('-37.8269', '144.9881')",-37.8269,144.9881,OTHER,12767.746471052975,12758.127256236046
68.119.22.213,2,"('45.5428', '-94.1871')",45.5428,-94.1871,OTHER,2410.703019397162,2418.379881456333
207.5.16.21,8,"('30.8936', '-83.3235')",30.8936,-83.3235,OTHER,3282.8399770019846,3296.6797726612135
95.91.210.153,8,"('52.4941', '13.4272')",52.4941,13.4272,OTHER,9317.572412044165,9319.355203423642
204.78.13.9,8,"('40.0574', '-75.4017')",40.0574,-75.4017,OTHER,3827.3900923274714,3838.43631884972
107.137.78.119,8,"('39.7764', '-86.1077')",39.7764,-86.1077,OTHER,2915.3030154808894,2926.4882014877503
174.166.193.189,2,"('40.6357', '-74.2527')",40.6357,-74.2527,OTHER,3920.399506806517,3931.2423118693746
98.145.221.170,4,"('32.8483', '-115.5776')",32.8483,-115.5776,OTHER,283.15417265850795,298.23532612517033
72.10.156.146,2,"('45.4724', '-73.6141')",45.4724,-73.6141,OTHER,3968.2176264978743,3977.408140190516
172.223.22.200,8,"('33.3792', '-86.6969')",33.3792,-86.6969,OTHER,2911.4260246270537,2924.8234456984974
50.255.60.179,4,"('37.6538', '-122.4257')",37.6538,-122.4257,OTHER,549.7187108039678,536.3731173845947
52.128.53.21,6,"('32.6137', '-97.2764')",32.6137,-97.2764,OTHER,1954.9756044472526,1969.0710266239348
84.15.176.158,2,"('54.6912', '25.2816')",54.6912,25.2816,OTHER,9553.686722924354,9553.599806638253
174.234.111.203,2,"('41.4133', '-74.0362')",41.4133,-74.0362,OTHER,3933.7899456307496,3944.378520481472
200.119.184.194,2,"('9.9346', '-84.0707')",9.9346,-84.0707,OTHER,4392.1217204721725,4407.10243205121
208.126.111.151,2,"('40.7309', '-92.3954')",40.7309,-92.3954,OTHER,2395.9202430822324,2406.4451985157048
97.184.60.218,2,"('29.4614', '-98.7468')",29.4614,-98.7468,OTHER,1912.5621679156645,1927.4795877240385
132.177.238.88,6,"('43.1197', '-70.9241')",43.1197,-70.9241,OTHER,4181.465949189066,4191.464521237913
47.186.199.243,4,"('33.238', '-97.1134')",33.238,-97.1134,OTHER,1958.6596005391702,1972.539974199878
108.29.49.18,4,"('40.8518', '-73.8705')",40.8518,-73.8705,OTHER,3951.030736934722,3961.798524044521
192.230.167.30,4,"('47.4953', '-111.2493')",47.4953,-111.2493,OTHER,1609.3902817384128,1609.1629130030256
72.220.189.215,2,"('32.7405', '-117.0935')",32.7405,-117.0935,OTHER,180.46403832303287,193.5732724398333
131.239.221.194,2,"('39.7007', '-75.7419')",39.7007,-75.7419,OTHER,3801.1690730122978,3812.33484610464
141.133.215.173,8,"('42.3939', '-71.2174')",42.3939,-71.2174,OTHER,4161.340745475108,4171.577198148641
162.218.238.189,10,"('34.1059', '-117.5859')",34.1059,-117.5859,OTHER,65.11149554956961,78.73601004364981
192.63.97.239,8,"('32.9657', '-96.8834')",32.9657,-96.8834,OTHER,1984.494668558066,1998.4571781319794
23.121.123.61,4,"('42.9733', '-85.7286')",42.9733,-85.7286,OTHER,2980.85442624589,2990.6954032314975
124.120.117.173,2,"('13.733', '100.4865')",13.733,100.4865,OTHER,13305.807924478599,13292.072512484896
115.188.229.118,4,"('-37.6846', '176.162')",-37.6846,176.162,OTHER,10457.603212670972,10451.006585608955
185.164.30.146,2,"('24.9986', '44.9892')",24.9986,44.9892,OTHER,13218.627286688257,13217.788604948375
192.58.125.20,2,"('33.5982', '-101.8758')",33.5982,-101.8758,OTHER,1515.210294468793,1529.1536549268847
73.232.210.222,2,"('29.572', '-95.54')",29.572,-95.54,OTHER,2200.8295458979674,2215.5661204953954
131.247.226.236,2,"('28.0619', '-82.4044')",28.0619,-82.4044,OTHER,3463.8864253786805,3478.2005746011455
172.115.181.159,8,"('34.1245', '-117.3133')",34.1245,-117.3133,OTHER,90.26346104528619,103.90344957915367
67.67.48.203,6,"('29.6918', '-95.6526')",29.6918,-95.6526,OTHER,2186.248678907681,2200.969973684914
162.224.177.191,4,"('38.7048', '-90.4617')",38.7048,-90.4617,OTHER,2534.886332675116,2546.45460377439
76.126.208.179,6,"('37.8371', '-122.2773')",37.8371,-122.2773,OTHER,555.8421004213149,542.8174045169641
104.11.193.44,2,"('32.5817', '-97.1399')",32.5817,-97.1399,OTHER,1968.1951411132713,1982.293944528491
115.166.27.53,2,"('-34.9276', '138.6458')",-34.9276,138.6458,OTHER,13153.726040782838,13143.06565352144
197.87.186.88,2,"('-33.9258', '18.4259')",-33.9258,18.4259,OTHER,16054.089589543364,16069.10410319487
207.229.100.249,2,"('31.7947', '-85.9607')",31.7947,-85.9607,OTHER,3015.2931563270386,3029.0623390552737
172.58.134.225,4,"('25.9436', '-80.2264')",25.9436,-80.2264,OTHER,3751.2485443311416,3765.754851052368
168.232.145.83,6,"('6.801', '-58.1704')",6.801,-58.1704,OTHER,6844.573351317139,6859.564098382433
68.197.87.100,6,"('41.0282', '-73.7787')",41.0282,-73.7787,OTHER,3957.5460415336397,3968.2559347370225
202.67.86.217,8,"('-33.8539', '151.0296')",-33.8539,151.0296,OTHER,12082.237760756452,12072.332737771996
41.193.168.107,4,"('-26.2309', '28.0583')",-26.2309,28.0583,OTHER,16680.785201731735,16694.36746416256
70.37.218.115,2,"('42.1711', '-97.1918')",42.1711,-97.1918,OTHER,2048.6715374629666,2057.8542866069533
180.75.247.226,2,"('3.191', '101.662')",3.191,101.662,OTHER,14133.363314973436,14118.786220319163
187.190.177.239,2,"('25.7808', '-100.3781')",25.7808,-100.3781,OTHER,1950.1543635430098,1965.3030968548658
189.219.41.252,8,"('25.6484', '-100.3195')",25.6484,-100.3195,OTHER,1962.9992676081265,1978.1442979144913
125.239.42.56,2,"('-36.8506', '174.7679')",-36.8506,174.7679,OTHER,10491.239915818494,10484.32137141899
200.33.13.215,2,"('19.0348', '-98.2172')",19.0348,-98.2172,OTHER,2591.4140903590405,2606.1025750483423
104.38.56.182,6,"('40.7957', '-77.8618')",40.7957,-77.8618,OTHER,3615.7632864158636,3626.592736006724
172.117.11.2,2,"('34.062', '-118.3757')",34.062,-118.3757,UCLA,5.971082815050789,9.402137214395491
178.238.165.218,2,"('46.9411', '7.3856')",46.9411,7.3856,OTHER,9504.781861168705,9508.283677618256
124.184.201.244,2,"('-37.7789', '145.16')",-37.7789,145.16,OTHER,12751.80222104517,12742.186152511093
99.43.109.87,4,"('29.6709', '-98.6849')",29.6709,-98.6849,OTHER,1910.1992196627757,1925.0807761256851
96.42.205.41,2,"('44.297', '-93.2869')",44.297,-93.2869,OTHER,2425.673915794023,2434.190471171142
75.108.6.210,6,"('30.6032', '-96.3136')",30.6032,-96.3136,OTHER,2095.2789271900215,2109.8559305771305
184.97.152.117,8,"('41.2854', '-96.1494')",41.2854,-96.1494,OTHER,2101.8783185500315,2111.7518446729846
131.179.94.116,8,"('34.0648', '-118.4414')",34.0648,-118.4414,UCLA,0.5967004368546858,15.11501921919522
49.194.225.8,2,"('-32.0666', '115.7872')",-32.0666,115.7872,OTHER,15029.92927517722,15017.310203601473
99.245.190.204,3,"('43.5119', '-79.6299')",43.5119,-79.6299,OTHER,3478.3419779431547,3488.1650426605247
73.170.156.155,8,"('36.978', '-121.894')",36.978,-121.894,OTHER,463.2945483067803,449.6820250967401
76.78.155.40,6,"('29.8737', '-97.9361')",29.8737,-97.9361,OTHER,1970.9939050478272,1985.80240985054
98.53.91.36,4,"('25.6696', '-80.2875')",25.6696,-80.2875,OTHER,3757.6622276047788,3772.2059392816677
96.245.84.147,6,"('39.6732', '-75.7121')",39.6732,-75.7121,OTHER,3803.933858520603,3815.1078187176327
108.80.19.202,2,"('33.8358', '-117.9063')",33.8358,-117.9063,OTHER,40.67888804562615,55.67382740873837
104.28.105.24,2,"('59.9016', '10.7343')",59.9016,10.7343,OTHER,8578.740189623546,8579.56268254183
